time,magnitude,place,longitude,latitude,depth,type,alert,tsunami,sig
2024-11-16 16:30:32.950,0.97,"1 km W of Lake Arrowhead, CA",-117.201,34.249,3.46,earthquake,,0,14
2024-11-16 16:27:53.470,1.31,"8 km ENE of Aguanga, CA",-116.7818333,33.4693333,2.3,earthquake,,0,26
2024-11-16 16:12:12.468,2.3,"88 km SE of Kokhanok, Alaska",-153.7588,58.8422,8.9,earthquake,,0,81
2024-11-16 16:00:18.866,1.1,"10 km N of Four Mile Road, Alaska",-149.0971,64.7001,7.5,earthquake,,0,19
2024-11-16 15:56:24.560,1.88,"1 km W of Round Valley, CA",-118.609497070312,37.4133338928223,9.48999977111816,earthquake,,0,54
2024-11-16 15:52:08.410,3.15,"1 km S of Caruthersville, Missouri",-89.6583333333333,36.1795,8.33,earthquake,,0,180
2024-11-16 15:49:05.370,1.16,"22 km SSE of Twentynine Palms, CA",-116.0241667,33.943,7.08,earthquake,,0,21
2024-11-16 15:44:02.956,4.8,"25 km NE of Port-Olry, Vanuatu",167.2523,-14.8942,157.75,earthquake,,0,354
2024-11-16 15:39:19.500,1.82000005,"12 km S of Volcano, Hawaii",-155.213668823242,19.3333339691162,2.14000010490417,earthquake,,0,51
2024-11-16 15:28:40.149,4.7,"61 km SW of Sibolga, Indonesia",98.3457,1.4045,88.978,earthquake,,0,340
2024-11-16 15:09:30.974,2.0,"79 km SE of Kokhanok, Alaska",-153.9248,58.8765,14.0,earthquake,,0,62
2024-11-16 14:51:49.040,3.82,"90 km NNE of Punta Cana, Dominican Republic",-68.2146,19.3806,130.0,earthquake,,0,224
2024-11-16 14:46:31.464,2.2,"62 km W of Nanwalek, Alaska",-153.0249,59.3703,68.4,earthquake,,0,74
2024-11-16 14:37:24.480,3.41,"45 km NW of Rincón, Puerto Rico",-67.5811666666667,18.602,16.94,earthquake,,0,179
